date,mode,system,trips
2022-01-01,bus_rkl,bus,84122
2022-01-02,bus_rkl,bus,77263
2022-01-03,bus_rkl,bus,114263
2022-01-04,bus_rkl,bus,113677
2022-01-05,bus_rkl,bus,116090
2022-01-06,bus_rkl,bus,116291
2022-01-07,bus_rkl,bus,116071
2022-01-08,bus_rkl,bus,88331
2022-01-09,bus_rkl,bus,85326
2022-01-10,bus_rkl,bus,130355
2022-01-11,bus_rkl,bus,130246
2022-01-12,bus_rkl,bus,129869
2022-01-13,bus_rkl,bus,127868
2022-01-14,bus_rkl,bus,124258
2022-01-15,bus_rkl,bus,88800
2022-01-16,bus_rkl,bus,82243
2022-01-17,bus_rkl,bus,126147
2022-01-18,bus_rkl,bus,79529
2022-01-19,bus_rkl,bus,129872
2022-01-20,bus_rkl,bus,128251
2022-01-21,bus_rkl,bus,127255
2022-01-22,bus_rkl,bus,82953
2022-01-23,bus_rkl,bus,77638
2022-01-24,bus_rkl,bus,127207
2022-01-25,bus_rkl,bus,129593
2022-01-26,bus_rkl,bus,131006
2022-01-27,bus_rkl,bus,127527
2022-01-28,bus_rkl,bus,125193
2022-01-29,bus_rkl,bus,85910
2022-01-30,bus_rkl,bus,79326
2022-01-31,bus_rkl,bus,98153
2022-02-01,bus_rkl,bus,81030
2022-02-02,bus_rkl,bus,77435
2022-02-03,bus_rkl,bus,89517
2022-02-04,bus_rkl,bus,97558
2022-02-05,bus_rkl,bus,78688
2022-02-06,bus_rkl,bus,74779
2022-02-07,bus_rkl,bus,121196
2022-02-08,bus_rkl,bus,120653
2022-02-09,bus_rkl,bus,119200
2022-02-10,bus_rkl,bus,113787
2022-02-11,bus_rkl,bus,116506
2022-02-12,bus_rkl,bus,82696
2022-02-13,bus_rkl,bus,77526
2022-02-14,bus_rkl,bus,118866
2022-02-15,bus_rkl,bus,118056
2022-02-16,bus_rkl,bus,118961
2022-02-17,bus_rkl,bus,115121
2022-02-18,bus_rkl,bus,111000
2022-02-19,bus_rkl,bus,81498
2022-02-20,bus_rkl,bus,72737
2022-02-21,bus_rkl,bus,111795
2022-02-22,bus_rkl,bus,110744
2022-02-23,bus_rkl,bus,111049
2022-02-24,bus_rkl,bus,105406
2022-02-25,bus_rkl,bus,106020
2022-02-26,bus_rkl,bus,78454
2022-02-27,bus_rkl,bus,71611
2022-02-28,bus_rkl,bus,107794
2022-03-01,bus_rkl,bus,107943
2022-03-02,bus_rkl,bus,109646
2022-03-03,bus_rkl,bus,108059
2022-03-04,bus_rkl,bus,103327
2022-03-05,bus_rkl,bus,77799
2022-03-06,bus_rkl,bus,79650
2022-03-07,bus_rkl,bus,109099
2022-03-08,bus_rkl,bus,106859
2022-03-09,bus_rkl,bus,111948
2022-03-10,bus_rkl,bus,110328
2022-03-11,bus_rkl,bus,107362
2022-03-12,bus_rkl,bus,80957
2022-03-13,bus_rkl,bus,78182
2022-03-14,bus_rkl,bus,109574
2022-03-15,bus_rkl,bus,110761
2022-03-16,bus_rkl,bus,111405
2022-03-17,bus_rkl,bus,110085
2022-03-18,bus_rkl,bus,109772
2022-03-19,bus_rkl,bus,84786
2022-03-20,bus_rkl,bus,79729
2022-03-21,bus_rkl,bus,113205
2022-03-22,bus_rkl,bus,110578
2022-03-23,bus_rkl,bus,115027
